,key,start,finish,called_from,time
24435,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 10, 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455798.8783863
24436,"('getitem-b8dacfee4133b5026e712426b0420106', 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455798.8817332
24437,"('getitem-b8dacfee4133b5026e712426b0420106', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455798.8854766
24438,"('getitem-b8dacfee4133b5026e712426b0420106', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.8894353
24439,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 70, 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455798.8936365
24440,"('getitem-d9f1434f23f16afed596ca02a9f38a57', 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455798.8974097
24441,"('getitem-d9f1434f23f16afed596ca02a9f38a57', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455798.9012012
24442,"('getitem-d9f1434f23f16afed596ca02a9f38a57', 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455798.905099
24443,"('getitem-3a92f14f5ed122c15cf3803140fa8161', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.9106438
24444,"('getitem-9a510e82f6bcd96142c58cc7b0c5692d', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.912767
24445,"('getitem-b8dacfee4133b5026e712426b0420106', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.9166267
24446,"('getitem-d9f1434f23f16afed596ca02a9f38a57', 0, 0, 0)",executing,memory,tcp://10.201.3.17:42345,1713455798.9206023
24447,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 104, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.9761155
24448,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455798.9765146
24449,"('getitem-93f608510dd1ed8e69f8faf880f1395e', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455798.9778097
24450,"('getitem-a2fa2275c5be558d8fe88fb0614e5813', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.9778097
24451,"('getitem-93f608510dd1ed8e69f8faf880f1395e', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:35547,1713455798.9798954
24452,"('getitem-a2fa2275c5be558d8fe88fb0614e5813', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.979894
24453,"('getitem-93f608510dd1ed8e69f8faf880f1395e', 0, 0, 0)",ready,executing,tcp://10.201.3.17:35547,1713455798.9847007
24454,"('getitem-a2fa2275c5be558d8fe88fb0614e5813', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455798.9846704
24455,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 13, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455798.9896047
24456,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455798.989945
24457,"('getitem-92d4e6e9c2f82c6d7d03562d96c81f29', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455798.9946134
24458,"('getitem-d402ac97c914f3753ec3fb48b8c90835', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455798.9946587
24459,"('getitem-92d4e6e9c2f82c6d7d03562d96c81f29', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455798.9988568
24460,"('getitem-d402ac97c914f3753ec3fb48b8c90835', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:35547,1713455798.9988616
24461,"('getitem-d402ac97c914f3753ec3fb48b8c90835', 0, 0, 0)",ready,executing,tcp://10.201.3.17:35547,1713455799.0035818
24462,"('getitem-92d4e6e9c2f82c6d7d03562d96c81f29', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455799.003578
24463,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 6, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455799.008445
24464,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 141, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455799.0087094
24465,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 141, 0, 0, 0)",released,forgotten,tcp://10.201.3.17:33095,1713455799.0128386
24466,"('getitem-5c1551efc063542e5ec929b4184a9992', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455799.012896
24467,"('getitem-5c1551efc063542e5ec929b4184a9992', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:35547,1713455799.0175142
24468,"('array-8838909ee9756e34565341881e2e6f0c', 141)",released,forgotten,tcp://10.201.3.17:33095,1713455799.017505
24469,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 141, 0, 0, 0)",released,forgotten,tcp://10.201.3.17:33095,1713455799.0221934
24470,"('getitem-5c1551efc063542e5ec929b4184a9992', 0, 0, 0)",ready,executing,tcp://10.201.3.17:35547,1713455799.0222921
24471,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 74, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455799.0269823
24472,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 64, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455799.0269957
24473,"('getitem-e64e009ef044dde222f0265036cf841b', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455799.0314488
24474,"('getitem-3ebef17eb8bd21ae3ff24ee9b26ef3c2', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455799.0314877
24475,"('getitem-e64e009ef044dde222f0265036cf841b', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:35547,1713455799.036045
24476,"('getitem-3ebef17eb8bd21ae3ff24ee9b26ef3c2', 0, 0, 0)",waiting,ready,tcp://10.201.3.17:33095,1713455799.0360508
24477,"('getitem-3ebef17eb8bd21ae3ff24ee9b26ef3c2', 0, 0, 0)",ready,executing,tcp://10.201.3.17:33095,1713455799.0405366
24478,"('getitem-e64e009ef044dde222f0265036cf841b', 0, 0, 0)",ready,executing,tcp://10.201.3.17:35547,1713455799.0405786
24479,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 36, 0, 0, 0)",memory,released,tcp://10.201.3.17:33095,1713455799.0454926
24480,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 29, 0, 0, 0)",memory,released,tcp://10.201.3.17:35547,1713455799.0454876
24481,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 60, 0, 0, 0)",memory,released,tcp://10.201.3.17:45521,1713455799.0465488
24482,"('getitem-6171e0b7c3e022f6d09f280ecf3c19eb', 0, 0, 0)",released,waiting,tcp://10.201.3.17:35547,1713455799.0499492
24483,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 60, 0, 0, 0)",released,forgotten,tcp://10.201.3.17:45521,1713455799.0501802
24484,"('getitem-90503ec8cda331377ebac317def2f712', 0, 0, 0)",released,waiting,tcp://10.201.3.17:33095,1713455799.050246
